brand,followers,year,size_ml,price_per_ml,EDT,EDP,XDP,cluster
Roha Fragrance,147,2024,50,4380.0,False,False,True,1
Rumah Atsiri,82500,2018,10,9500.0,False,True,False,1
S.TOI Fragrances,830,2023,50,4780.0,False,True,False,1
SAFF & Co.,54400,2020,30,7633.33,False,False,True,1
Saint Hars,7216,2020,30,8300.0,False,False,True,1
Saka,30900,2023,50,3980.0,False,True,False,1
Samaya Perfume,27200,2020,35,5400.0,False,True,False,1
Sanford Perfume,2980,2023,50,3920.0,False,True,False,1
Sansoe,10500,2020,50,7780.0,False,True,False,1
Santigi Perfume,167000,2019,30,3300.0,False,True,False,1
Scentalgia,3485,2023,50,3900.0,False,True,False,1
Scentderland Perfumery,1731,2022,50,3198.0,False,True,False,1
Scentdles,6128,2020,50,2800.0,False,True,False,1
Scentials,4297,2021,30,6633.33,False,True,False,1
Scents OF Pluto,17700,2023,50,4380.0,False,True,False,1
Scentworks & Co,3292,2020,105,1990.48,False,True,False,2
Sensori,188,2023,30,4966.67,False,True,False,1
Sighnil Perfume,1223,2023,30,5996.67,False,True,False,1
Skinouru,18100,2021,50,3984.0,False,True,False,1
SONAR Perfume,52300,2020,50,2980.0,False,True,False,1
Spill The Eau,3071,2022,30,4966.67,False,True,False,1
Tempt,437,2023,50,7780.0,False,True,False,1
terah,581,2022,40,7225.0,False,True,False,1
The Body Tale,5079,2022,50,3940.0,False,False,True,1
The Pleasure,1048,2021,50,3900.0,False,True,False,1
THISISME Scent,1514,2023,25,7160.0,False,True,False,1
Tonnolab,279,2023,35,3685.71,False,True,False,1
Twenty Four Scent,1605,2021,100,3190.0,False,True,False,2
UGLO,8460,2019,50,3980.0,False,True,False,1
Unke Naru,5712,2023,100,5890.0,False,True,False,2
Unspoken,696,2024,55,3618.18,False,True,False,1
Usual,9901,2020,100,2511.0,False,True,False,2
UTURN,3362,2022,50,3980.0,False,True,False,1
Vadaqo,2213,2020,50,2980.0,False,True,False,1
Value Perfume,1975,2022,50,3240.0,False,True,False,1
Verites,745,2023,50,3980.0,False,True,False,1
VNY Perfumery,530,2022,55,4527.27,False,True,False,1
VOIIJ.,8957,2021,50,3160.0,False,True,False,1
Vorbodi,1862,2023,30,5716.87,False,True,False,1
YN Perfumery,1540,2022,50,3980.0,False,True,False,1
Zior,15700,2020,35,4142.86,False,False,True,1
