brand,followers,year,variant,concentration,size_ml,price,price_per_ml
Multitude Scents,188,2023,Kalut Kretek,EDP,50,350000.0,7000.0
Mykonos,286000,2019,Vanilla Clouds,EDP,50,119000.0,2380.0
Myth Fragrance,936,2022,Kitsu-Ne,EDP,50,139000.0,2780.0
NAMXL,2255,2022,Summer Garden,EDP,50,139300.0,2786.0
Nevernot,1866,2022,Petite Avenue,EDP,35,169000.0,4828.57
Next Door Neighbor,1275,2022,Ms. Kana,EDP,30,139000.0,4633.33
Noir Perfume,978,2023,Moon Drops,EDP,30,92900.0,3096.67
Normal Estate,1913,2022,019,EDP,50,889000.0,17780.0
Oaken Lab,14900,2018,Earth of Mankind,EDP,50,799000.0,15980.0
Oentuk: Indonesia,598,2023,Roro,EDP,50,249000.0,4980.0
Olmorva,7004,2024,Sparkling Escape,EDP,30,224100.0,7470.0
Onix,124000,2019,FWB,EDP,50,189000.0,3780.0
Onja,715,2023,Savio,EDP,50,153000.0,3060.0
ORDZ,114,2022,Jamess,EDP,50,100500.0,2010.0
Orris,740,2021,Antheia,EDP,50,139000.0,2780.0
Orsar,2712,2024,Songbird,EDP,80,725000.0,9062.5
OUDS,6434,2020,PSYCH,EDP,35,150000.0,4285.71
Oullu,18300,2020,Arcana,EDP,50,389000.0,7780.0
Pankova,1444,2023,The Desire,EDP,30,175000.0,5833.33
Peculiar,18500,2023,Night,EDP,50,440000.0,8800.0
Perfume Republic,1888,2021,On Point,EDT,100,249000.0,2490.0
Pive Perfumery,140,2022,Antheia,EDP,33,125000.0,3787.88
Project 1945,7044,2021,Sunset in Sumba,EDP,100,275000.0,2750.0
Readyset,51000,2021,Windrises,EDP,35,169000.0,4828.57
Remoir Perfumery,1896,2022,Hearts of New York ,EDP,35,159000.0,4542.86
Roha Fragrance,147,2024,Addiction,XDP,50,219000.0,4380.0
Rumah Atsiri,82500,2018,1941,EDP,10,95000.0,9500.0
S.TOI Fragrances,830,2023,Indigo,EDP,50,239000.0,4780.0
SAFF & Co.,54400,2020,S.O.T.B,XDP,30,229000.0,7633.33
Saint Hars,7216,2020,St. Moritz,XDP,30,249000.0,8300.0
Saka,30900,2023,O'real,EDP,50,199000.0,3980.0
Samaya Perfume,27200,2020,Wairi Hill,EDP,35,189000.0,5400.0
Sanford Perfume,2980,2023,Calestial Blue,EDP,50,196000.0,3920.0
Sansoe,10500,2020,Lignum,EDP,50,389000.0,7780.0
Santigi Perfume,167000,2019,Jack the Pirates,EDP,30,99000.0,3300.0
Scentalgia,3485,2023,The Vase of Flower,EDP,50,195000.0,3900.0
Scentderland Perfumery,1731,2022,Lady Lamington,EDP,50,159900.0,3198.0
Scentdles,6128,2020,Meadow,EDP,50,140000.0,2800.0
Scentials,4297,2021,Amaranth,EDP,30,199000.0,6633.33
Scents OF Pluto,17700,2023,Through The Mystic Forest,EDP,50,219000.0,4380.0
Scentworks & Co,3292,2020,London Breeze,EDP,105,209000.0,1990.48
Sensori,188,2023,On Time,EDP,30,149000.0,4966.67
Sighnil Perfume,1223,2023,French Peonies Mood,EDP,30,179900.0,5996.67
Skinouru,18100,2021,Jardine Jasmine,EDP,50,199200.0,3984.0
SONAR Perfume,52300,2020,Date U,EDP,50,149000.0,2980.0
Spill The Eau,3071,2022,Flowers by the Bay,EDP,30,149000.0,4966.67
Tempt,437,2023,Lumiere et Ombre,EDP,50,389000.0,7780.0
terah,581,2022,#002,EDP,40,289000.0,7225.0
The Body Tale,5079,2022,Kairy,XDP,50,197000.0,3940.0
The Pleasure,1048,2021,2,EDP,50,195000.0,3900.0
THISISME Scent,1514,2023,Poise,EDP,25,179000.0,7160.0
Tonnolab,279,2023,Almonde Eclat,EDP,35,129000.0,3685.71
Twenty Four Scent,1605,2021,Obsessed,EDP,100,319000.0,3190.0
UGLO,8460,2019,Clear Ocean,EDP,50,199000.0,3980.0
Unke Naru,5712,2023,For You,EDP,100,589000.0,5890.0
Unspoken,696,2024,Oui,EDP,55,199000.0,3618.18
Usual,9901,2020,Gentle Ginger,EDP,100,251100.0,2511.0
UTURN,3362,2022,Peace,EDP,50,199000.0,3980.0
Vadaqo,2213,2020,Pablo,EDP,50,149000.0,2980.0
Value Perfume,1975,2022,Magnolia Blooms,EDP,50,162000.0,3240.0
Verites,745,2023,Joie De Vivre,EDP,50,199000.0,3980.0
VNY Perfumery,530,2022,Daydream,EDP,55,249000.0,4527.27
VOIIJ.,8957,2021,Pina Colada,EDP,50,158000.0,3160.0
Vorbodi,1862,2023,Blithe,EDP,30,171506.0,5716.87
YN Perfumery,1540,2022,Rose in September,EDP,50,199000.0,3980.0
Zior,15700,2020,Dose of Love,XDP,35,145000.0,4142.86
